,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
301,3211200.0,Musical,Sing Street,N/A,PG-13,2016-04-15 00:00:00,105
302,26700.0,Drama / Thriller,Anesthesia,N/A,R,2016-01-08 00:00:00,90
303,10200.0,Crime Drama,Serial Killer 1,N/A,Unrated,2016-05-13 00:00:00,120
304,111500.0,Drama,The Measure of a Man,N/A,Unrated,2016-04-15 00:00:00,93
305,23600.0,Horror Thriller,Southbound,N/A,R,2016-02-05 00:00:00,89
306,95600.0,Romance,So Young 2: Never Gone,N/A,Not Yet Rated,2016-07-15 00:00:00,100
307,898400.0,Documentary,Dark Horse,N/A,PG,2016-05-06 00:00:00,85
308,1144600.0,Comedy / Drama,Dough,N/A,Unrated,2016-02-12 00:00:00,94
309,88200.0,Drama,Fireworks Wednesday,N/A,Unrated,2016-03-18 00:00:00,102
310,32232300.0,Comedy,Mother's Day,$25 million,PG-13,2016-04-29 00:00:00,118
311,26700.0,Documentary,Unlocking the Cage,N/A,Unrated,2016-05-25 00:00:00,91
